Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type,Machine failure,Product ID,UDI
304.9671415301123,303.6436047696595,1364.3010539025556,38.56576783541071,11.133278560865655,M,0,1,1
298.6173569882882,303.1987883742422,1438.9001073892694,39.6734409625969,197.15352116496268,M,0,2,2
306.4768853810069,283.0653524105498,1380.5237877909715,40.64294878587582,160.00369628968346,L,0,3,3
315.2302985640803,305.04864712447846,1522.083609389224,49.4686146164618,173.7618143262899,M,0,4,4
297.65846625276663,320.99243622732615,1739.4357062923825,32.527826915132565,138.85885562858923,M,0,5,5
297.6586304305082,290.8865182138481,1345.7915685717592,31.5365300848734,37.210006561739895,L,0,6,6
315.7921281550739,325.7272397657589,1700.1640995536827,52.36619742142975,6.205688483606453,L,0,7,7
307.6743472915291,317.31662231626507,1343.6655855306224,35.37355258118702,172.9313215472027,L,0,8,8
295.3052561406505,298.98650017043445,1330.4745575006232,27.369646464229337,79.26613074722462,H,0,9,9
305.4256004358596,307.8770554399323,1663.7189236686427,35.1487005790013,52.77297520798398,H,0,10,10
295.36582307187535,333.9748271146155,1684.3872756015232,36.69947264755999,112.33459176778888,M,0,11,11
295.3427024642974,321.00321720258796,1670.281987352531,55.54962727725765,84.17970449514387,L,0,12,12
302.41962271566035,310.1317548234722,1236.8405183563718,49.248262123767375,130.3331991375114,L,0,13,13
280.86719755342205,306.43475024558524,1406.8098043855898,51.47520616632242,96.75864661090272,H,0,14,14
282.75082167486966,311.1491360567749,1664.5977184006642,48.19973642346786,139.44662808805413,L,0,15,15
294.37712470759027,302.32354663086545,1508.308368112779,49.46243671615314,170.6846539018286,H,0,16,16
289.87168879665575,278.4287574142148,1285.2614307605072,33.11917873419682,39.11140219115781,M,0,17,17
303.1424733259527,340.632668658021,1591.6635878250884,38.01397844646516,65.88657611309736,H,0,18,18
290.9197592447879,312.32987498799105,1357.038548201706,30.10084686976451,87.36311731412778,M,0,19,19
285.8769629866471,315.97220897683803,1858.9049696784423,37.89511969462966,192.41168960552764,M,0,20,20
314.65648768921557,309.1313837518464,1808.9682924836518,46.84104990934741,73.06672270949706,M,0,21,21
297.74223699513465,298.97324798913115,1620.8194852711135,41.34583284812247,76.2199699185259,H,0,22,22
300.67528204687926,307.2111327857684,1772.2013409539547,53.114808189602954,130.69450459191222,H,0,23,23
285.7525181378654,286.00907856708534,1512.9582700246763,28.585842077727804,83.83994197798985,M,0,24,24
294.55617275474816,344.1562974707996,1653.0874988750031,45.0023835069824,190.24474912792104,M,0,25,25
301.10922589709867,291.48232002366404,1795.544059060415,27.51697198130682,178.8937520950888,H,0,26,26
288.49006422577696,294.5205057422923,1549.0997363588626,40.941764691736424,102.68175555513459,H,0,27,27
303.75698018345673,303.396111934204,1448.9625656971432,47.40333422556479,128.95504678956996,M,0,28,28
293.99361310081196,329.32113587278565,1159.0756083645767,37.85497433175781,11.60611237672411,L,0,29,29
297.0830625020672,310.21763498893984,1483.3732948557013,45.511266040869565,139.1461056064796,L,0,30,30
293.98293387770605,291.4579630595431,1664.6846369124623,30.40267665167066,141.44017458980645,H,0,31,31
318.52278184508936,328.8150754113601,1689.126685513526,23.363100218036173,71.83985912864162,L,0,32,32
299.8650277526207,320.9650094017822,1600.8730131436819,45.57029622487803,43.936576725054536,L,0,33,33
289.422890710441,318.0765243582468,1391.740181007552,57.44010234075733,183.01568036340333,L,0,34,34
308.2254491210319,320.7360136175626,1104.635686210482,30.039550598301076,85.34098016102554,M,0,35,35
287.7915635002898,345.91542850873674,1400.956980399053,52.221941801067956,130.74122096034213,M,0,36,36
302.08863595004755,342.7764234255417,1439.1310257892096,40.43423408816411,6.665758995251192,L,0,37,37
280.4032987612022,299.69926985495056,1437.4142065619972,26.64308478306924,82.81343331536726,L,0,38,38
286.7181395110157,334.3582748921673,1623.7112713955848,28.684946986478373,163.451762202776,M,0,39,39
301.96861235869125,315.7475228463835,1897.1352822029678,40.1578477336065,77.515200080143,H,0,40,40
307.3846657999541,317.48643724206624,1524.7058403682186,35.95537712075896,120.63223202737537,L,0,41,41
301.71368281189973,284.6159375253501,1456.6536421687076,26.87087023241761,41.97116009690789,L,0,42,42
298.8435171761176,307.4442135191771,1448.1556373991814,23.05960718774595,83.30512976791191,M,0,43,43
296.9889630441071,297.80764614495155,1524.8769533815428,31.53280672073494,185.52754361063734,H,0,44,44
285.21478009632574,322.42088222339964,1334.3412479303202,41.93809008331118,113.29034994020743,M,0,45,45
292.8015579160529,326.0662075060421,1524.039711749211,39.93599247396862,180.3862918185863,M,0,46,46
295.39361229040213,278.88270473475535,1590.16246726636,34.987620424999214,180.40385989790866,H,0,47,47
310.57122226218917,309.66947703993594,1541.9372127148977,42.01887194291483,188.82956008489592,L,0,48,48
303.4361828956846,326.8279225719138,1591.5083868009563,50.40026719862688,179.07833201602105,L,0,49,49
282.36959844637266,307.1998155652983,1586.749521869707,43.941265104341475,0.6562258020601286,M,0,50,50
303.240839693948,320.9359546750355,1145.6206635507112,38.786913286104195,186.80297831631938,H,0,51,51
296.14917719583684,315.26748201440626,1627.3740316790806,49.28072006660689,27.491887817075277,M,0,52,52
293.2307799969404,315.1249034792894,1365.7970308675092,30.40149697783705,7.985250222230111,H,0,53,53
306.1167628884087,305.93027532897554,1280.8321673992084,37.750804604446486,11.077706915610563,M,0,54,54
310.3099952249595,291.7512879379644,1279.1096344290008,37.989120643996316,69.78323903528671,M,0,55,55
309.312801191162,293.1770477886246,1586.7083220945058,27.630467415571548,124.16081705375872,L,0,56,56
291.6078247677736,320.64028771682973,1455.4850145550295,35.80125837715642,80.46223930379949,L,0,57,57
296.9078762414878,310.29187383278327,1163.606243202918,19.25040319104697,5.1108569298758955,M,0,58,58
303.3126343140356,307.92231633089165,1595.6075630384566,59.12178047662954,95.29652683494294,L,0,59,59
309.7554512712236,303.6416493651647,1212.0783738402347,30.62586211563687,88.42614845407601,L,0,60,60
295.2082576215471,305.4221673177887,1527.9642717036422,55.86114131421312,151.36985310032938,H,0,61,61
298.1434102333618,325.70367691732207,1547.699785134611,40.380845057194925,55.92257968508767,H,0,62,62
288.9366502599397,304.9713387719796,1677.115416339009,45.64864132155959,43.50623475887343,L,0,63,63
288.03793375919327,289.88402930047647,1856.3369572933702,35.112002016490685,51.187791535325246,M,0,64,64
308.12525822394196,321.1547766331026,1227.0647348198916,42.079296919616745,60.7479645259696,L,0,65,65
313.56240028570824,306.92685004202923,1489.50522878739,46.50489639988436,119.8329746734333,L,0,66,66
299.2798987841967,310.47093798299164,1444.7329409911565,46.64552414394182,94.30509709041597,M,0,67,67
310.03532897892023,334.1136745959927,1586.7499371921924,47.74773390074357,67.37891303581158,M,0,68,68
303.61636025047636,309.6915916397424,1543.1337541867238,36.316672899608236,74.86283165673568,L,0,69,69
293.5488024539488,314.3377550967809,1429.490751452676,35.196403275086446,74.18473203179524,M,0,70,70
303.61395605508415,292.3161476305251,1411.819562277829,24.058236747323964,194.48133894206347,L,0,71,71
315.3803656646597,306.7049582147356,1276.7098289631904,45.23219011176937,46.59939761059051,H,0,72,72
299.6417396089005,319.142890678129,1697.5723164813019,50.823787113234424,163.61231205445173,M,0,73,73
315.64643655814007,286.66939399238134,1591.840836319906,56.159816799179296,141.6421675176374,M,0,74,74
273.8025489591026,313.0126763967356,1683.5536395590275,43.05172634580508,1.1140011207101175,L,0,75,75
308.21902504375225,311.5118660896721,1437.9207727048972,32.33520227091431,198.6352436250976,M,0,76,76
300.8704706823817,310.6193118338116,1368.632906261114,23.029038567105445,151.2878741267147,M,0,77,77
297.00992649534135,325.55738347987364,1284.3369866741543,50.416667330833505,136.48991727015826,H,0,78,78
300.917607765355,315.01657772272785,1571.783516748132,22.037234332224646,81.06494153532746,L,0,79,79
280.12431085399106,332.17107847534663,1292.041355094353,36.59395922256233,111.04061778285792,H,0,80,80
297.8032811216249,295.09615726608945,1869.73261379331,37.75693172056354,50.65417913349404,M,0,81,81
303.5711257151175,312.03886850827524,1238.471483781312,39.30544862148981,7.0966810291394955,L,0,82,82
314.77894044741515,311.2670017958492,1554.7320238425004,40.3580260003584,167.20433168919456,M,0,83,83
294.8172978172635,293.9611825936738,1813.3709414427572,41.38147556367576,179.29689873623434,M,0,84,84
291.91506397106815,324.3444250313702,1619.8179518527618,15.846367379214703,32.49412732284797,H,0,85,85
294.98242956415464,344.87009958779225,1535.1347424983558,40.14655909870127,157.4112191691466,M,0,86,86
309.15402117702075,309.74490888274255,1306.3032706076208,17.70424425888123,148.23053465713173,M,0,87,87
303.28751109659686,317.5753163241065,1223.6461622864592,47.32218073090995,35.67500038721809,L,0,88,88
294.7023979623296,311.2677771372299,1654.0100217835172,34.44874844196388,84.36576051495877,L,0,89,89
